episode,step,reward,served_total,served_crit,served_imp,fault_live,powerflow_success,toggled_switch,cascade_tripped,der_bound_frac,served_mw,der_bound_mw,isolation_happened
1,1,19.394031626784113,0.9886944818304173,1.0,1.0,0,1,,,nan,nan,nan,0
1,2,19.676669581023685,0.9773889636608344,1.0,1.0,0,1,,,nan,nan,nan,0
1,3,19.959307535263257,0.9660834454912516,1.0,1.0,0,1,,,nan,nan,nan,0
1,4,20.241945489502825,0.9547779273216689,1.0,1.0,0,1,,,nan,nan,nan,0
1,5,20.52458344374239,0.9434724091520862,1.0,1.0,0,1,,,nan,nan,nan,0
1,6,20.807221397981962,0.9321668909825034,1.0,1.0,0,1,,,nan,nan,nan,0
1,7,21.08985935222153,0.9208613728129206,1.0,1.0,0,1,,,nan,nan,nan,0
1,8,21.3724973064611,0.9095558546433378,1.0,1.0,0,1,,,nan,nan,nan,0
1,9,21.65513526070067,0.898250336473755,1.0,1.0,0,1,,,nan,nan,nan,0
1,10,21.93777321494024,0.8869448183041723,1.0,1.0,0,1,,,nan,nan,nan,0
1,11,22.220411169179805,0.8756393001345896,1.0,1.0,0,1,,,nan,nan,nan,0
1,12,22.503049123419377,0.8643337819650068,1.0,1.0,0,1,,,nan,nan,nan,0
1,13,22.785687077658945,0.853028263795424,1.0,1.0,0,1,,,nan,nan,nan,0
1,14,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,15,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,16,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,17,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,18,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,19,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,20,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,21,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,22,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,23,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,24,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,25,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,26,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,27,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,28,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,29,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,30,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,31,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,32,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,33,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,34,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,35,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,36,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,37,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,38,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,39,22.78568707765895,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
1,40,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,41,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,42,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,43,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,44,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,45,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,46,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,47,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,48,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,49,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,50,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,51,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,52,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,53,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,54,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,55,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,56,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,57,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,58,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,59,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,60,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,61,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,62,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,63,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,64,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,65,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,66,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,67,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,68,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,69,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,70,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,71,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,72,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,73,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,74,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,75,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,76,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,77,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,78,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,79,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,80,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,81,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,82,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,83,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,84,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,85,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,86,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,87,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,88,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,89,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,90,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,91,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,92,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,93,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,94,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,95,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,96,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,97,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,98,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,99,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,100,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,101,23.068325031898517,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
1,102,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,103,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,104,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,105,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,106,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,107,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,108,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,109,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,110,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,111,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,112,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,113,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,114,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,115,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,116,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,117,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,118,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,119,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
1,120,23.350962986138086,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,1,19.863306861613605,0.9886944818304173,1.0,1.0,0,1,,,nan,nan,nan,0
2,2,20.145944815853177,0.9773889636608344,1.0,1.0,0,1,,,nan,nan,nan,0
2,3,20.428582770092746,0.9660834454912516,1.0,1.0,0,1,,,nan,nan,nan,0
2,4,20.711220724332314,0.9547779273216689,1.0,1.0,0,1,,,nan,nan,nan,0
2,5,20.993858678571883,0.9434724091520862,1.0,1.0,0,1,,,nan,nan,nan,0
2,6,21.27649663281145,0.9321668909825034,1.0,1.0,0,1,,,nan,nan,nan,0
2,7,21.559134587051023,0.9208613728129206,1.0,1.0,0,1,,,nan,nan,nan,0
2,8,21.84177254129059,0.9095558546433378,1.0,1.0,0,1,,,nan,nan,nan,0
2,9,22.124410495530164,0.898250336473755,1.0,1.0,0,1,,,nan,nan,nan,0
2,10,22.407048449769732,0.8869448183041723,1.0,1.0,0,1,,,nan,nan,nan,0
2,11,22.689686404009297,0.8756393001345896,1.0,1.0,0,1,,,nan,nan,nan,0
2,12,22.97232435824887,0.8643337819650068,1.0,1.0,0,1,,,nan,nan,nan,0
2,13,23.254962312488438,0.853028263795424,1.0,1.0,0,1,,,nan,nan,nan,0
2,14,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,15,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,16,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,17,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,18,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,19,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,20,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,21,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,22,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,23,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,24,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,25,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,26,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,27,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,28,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,29,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,30,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,31,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,32,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,33,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,34,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,35,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,36,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,37,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,38,23.25496231248844,0.8530282637954238,1.0,1.0,0,1,,,nan,nan,nan,0
2,39,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,40,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,41,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,42,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,43,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,44,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,45,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,46,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,47,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,48,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,49,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,50,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,51,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,52,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,53,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,54,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,55,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,56,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,57,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,58,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,59,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,60,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,61,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,62,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,63,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,64,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,65,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,66,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,67,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,68,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,69,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,70,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,71,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,72,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,73,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,74,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,75,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,76,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,77,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,78,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,79,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,80,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,81,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,82,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,83,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,84,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,85,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,86,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,87,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,88,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,89,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,90,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,91,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,92,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,93,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,94,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,95,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,96,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,97,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,98,23.537600266728006,0.8417227456258412,1.0,1.0,0,1,,,nan,nan,nan,0
2,99,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,100,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,101,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,102,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,103,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,104,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,105,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,106,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,107,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,108,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,109,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,110,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,111,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,112,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,113,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,114,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,115,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,116,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,117,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
2,118,23.820238220967575,0.8304172274562585,1.0,1.0,0,1,,,nan,nan,nan,0
